"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1635690906159","32.5730951564765","32.0771517116013","31.2215312352781","29.8865751323362","28.5689438107943","27.4834576613789","26.5789235880701","24.9697188168453","23.5248510192064","22.4040918996754","22.1062421015003","21.2752240618852","21.6987563805426","22.6077597135788","23.3269681264591","23.8180270643915","24.0553517283903","24.8845163194321","25.7082870472852","26.4528659096818","26.795671064555","",
"Afghanistan","AFG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","43.7","38.6","35.9","34.2","31.6","28.3","25.1","21.6","19.4","18.3","19.5","19.4","19.3","20","20.5","21.4","22.6","25.1","27.7","29.4","30.4","",
"Africa Western and Central","AFW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3656042084271","15.9271389113255","15.3636541020873","14.520557674042","13.6455053099563","12.9901586638844","12.3648911598044","11.9680943571441","11.8416437226193","12.0570576699672","12.1976455007795","12.3090413777064","12.1835051732995","12.1293276013266","12.0035908371535","12.0073224185327","12.2105002359212","12.3794571645097","13.069764289887","13.6740489762436","14.7108244003372","15.443766406653","",
"Angola","AGO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.4","63.1","58.7","55.1","52.2","49.4","46.4","43.3","32.6","22.8","14.7","13.8","13.2","13","14","14.9","15.2","15.7","18","20.5","22.1","23.2","",
"Albania","ALB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","6","7.4","8.6","8.9","8.9","8.4","7.4","6.2","5.4","4.8","4.5","4.4","4.5","4.4","4.3","4.3","4.2","4.3","4.4","4.3","4.5","",
"Andorra","AND","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0472856043911","10.9815220056156","11.0084362387761","11.0396313835529","10.8704362149533","10.6286343056495","10.4135554695673","10.3036870748636","10.1524953313815","10.273035522769","10.2943411160103","10.4477892453157","10.3042976664263","10.6081031917307","11.2150390098392","11.7791508762977","12.2093064613152","12.2736186413891","12.4196796604403","12.6668043861503","13.2176006325003","13.8529658985441","",
"United Arab Emirates","ARE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.1","5.3","6.8","7.8","8.1","8.1","7.5","7.8","7.1","6.5","5.1","4.6","4.5","4.6","4.4","4.2","3.6","3.3","3.1","3.4","2.7","",
"Argentina","ARG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","3.7","4.3","3.9","3.6","3.3","3.2","3.2","3.4","3.6","3.6","3.4","3.1","2.8","2.8","3","3.4","3.5","3.5","3.4","3.3","3.2","",
